id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B_cell|B_cell	B_cell|Cancer_cellHR-proficient	B_cell|Cancer_cellHRD	B_cell|Endothelial_cell	B_cell|Fibroblast	B_cell|Mast_cell	B_cell|Myeloid_cell	B_cell|T_cell	B_cell|pDC	Cancer_cellHR-proficient|B_cell	Cancer_cellHR-proficient|Cancer_cellHR-proficient	Cancer_cellHR-proficient|Cancer_cellHRD	Cancer_cellHR-proficient|Endothelial_cell	Cancer_cellHR-proficient|Fibroblast	Cancer_cellHR-proficient|Mast_cell	Cancer_cellHR-proficient|Myeloid_cell	Cancer_cellHR-proficient|T_cell	Cancer_cellHR-proficient|pDC	Cancer_cellHRD|B_cell	Cancer_cellHRD|Cancer_cellHR-proficient	Cancer_cellHRD|Cancer_cellHRD	Cancer_cellHRD|Endothelial_cell	Cancer_cellHRD|Fibroblast	Cancer_cellHRD|Mast_cell	Cancer_cellHRD|Myeloid_cell	Cancer_cellHRD|T_cell	Cancer_cellHRD|pDC	Endothelial_cell|B_cell	Endothelial_cell|Cancer_cellHR-proficient	Endothelial_cell|Cancer_cellHRD	Endothelial_cell|Endothelial_cell	Endothelial_cell|Fibroblast	Endothelial_cell|Mast_cell	Endothelial_cell|Myeloid_cell	Endothelial_cell|T_cell	Endothelial_cell|pDC	Fibroblast|B_cell	Fibroblast|Cancer_cellHR-proficient	Fibroblast|Cancer_cellHRD	Fibroblast|Endothelial_cell	Fibroblast|Fibroblast	Fibroblast|Mast_cell	Fibroblast|Myeloid_cell	Fibroblast|T_cell	Fibroblast|pDC	Mast_cell|B_cell	Mast_cell|Cancer_cellHR-proficient	Mast_cell|Cancer_cellHRD	Mast_cell|Endothelial_cell	Mast_cell|Fibroblast	Mast_cell|Mast_cell	Mast_cell|Myeloid_cell	Mast_cell|T_cell	Mast_cell|pDC	Myeloid_cell|B_cell	Myeloid_cell|Cancer_cellHR-proficient	Myeloid_cell|Cancer_cellHRD	Myeloid_cell|Endothelial_cell	Myeloid_cell|Fibroblast	Myeloid_cell|Mast_cell	Myeloid_cell|Myeloid_cell	Myeloid_cell|T_cell	Myeloid_cell|pDC	T_cell|B_cell	T_cell|Cancer_cellHR-proficient	T_cell|Cancer_cellHRD	T_cell|Endothelial_cell	T_cell|Fibroblast	T_cell|Mast_cell	T_cell|Myeloid_cell	T_cell|T_cell	T_cell|pDC	pDC|B_cell	pDC|Cancer_cellHR-proficient	pDC|Cancer_cellHRD	pDC|Endothelial_cell	pDC|Fibroblast	pDC|Mast_cell	pDC|Myeloid_cell	pDC|T_cell	pDC|pDC
CPI-SC03F728659	COL4A2_integrin_a1b1_complex	simple:P08572	complex:integrin_a1b1_complex	COL4A2		True	False	False	curated	True	0.049																															1.067	1.044								0.605	0.582																																								
CPI-SC06C75F978	APOE_TREM2_receptor	simple:P02649	complex:TREM2_receptor	APOE		True	False	True	curated	False	0.049																									0.424																		0.613									0.484									1.32																				
CPI-SC0EFDBED2D	THY1_integrin_aXb2_complex	simple:P04216	complex:integrin_aXb2_complex	THY1		False	False	False	curated	True	0.049																																	0.252	0.358								0.868	0.973																																						
CPI-SC09DB9D20A	COL1A2_integrin_a1b1_complex	simple:P08123	complex:integrin_a1b1_complex	COL1A2		True	False	False	curated	True	0.049																						0.53	0.507																	2.255	2.233																																								
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	False	False	True	curated	False	0.049																													0.261			0.529						0.239			0.507																																								
CPI-SC0A460766C	LAMC1_integrin_a2b1_complex	simple:P11047	complex:integrin_a2b1_complex	LAMC1		True	False	False	curated	True	0.049													0.123									0.151									0.376									0.38																																									
CPI-SS0291D3D2E	PROC_PROCR	simple:P04070	simple:Q9UNN8	PROC	PROCR	True	False	True	curated	False	0.049																																																																												0.284	0.199	0.356	0.173		
CPI-SS087B53ABF	JAM2_JAM3	simple:P57087	simple:Q9BX67	JAM2	JAM3	True	False	False	curated	False	0.049																															0.443	0.463								0.164	0.183																																								
CPI-SC003905460	THY1_integrin_aMb2_complex	simple:P04216	complex:integrin_aMb2_complex	THY1		False	False	False	curated	True	0.049																																	0.26	0.321								0.876	0.936																																						
CPI-SS0CC5DCE80	CDH1_KLRG1	simple:P12830	simple:Q96E93	CDH1	KLRG1	False	False	True	curated	False	0.049															0.373		0.306							0.324		0.257																																																							
CPI-SS0FF6CFDCA	ADORA3_ENTPD1	simple:P0DMS8	simple:P49961	ADORA3	ENTPD1	False	True	False	curated	False	0.049																																																							0.133			0.357	0.223		0.179																				
CPI-SC071B77A18	JAM3_integrin_aMb2_complex	simple:Q9BX67	complex:integrin_aMb2_complex	JAM3		True	False	False	curated	True	0.049																																	0.184	0.245								0.204	0.264																																						
CPI-SS02A170A99	SPN_SIGLEC1	simple:P16150	simple:Q9BZZ2	SPN	SIGLEC1	True	False	False	curated	False	0.049																																																				0.252									0.252									0.391									0.411		
CPI-SS0F9D53834	JAM3_JAM3	simple:Q9BX67	simple:Q9BX67	JAM3	JAM3	True	False	False	curated	False	0.049																															0.188	0.208								0.208	0.227																																								
CPI-SS0EB5AEC83	SELL_CD34	simple:P14151	simple:P28906	SELL	CD34	False	False	False	curated	False	0.049				1.165																																																						0.855									1.07									1.516					
CPI-CS090610CD1	IL10_receptor_IL10	complex:IL10_receptor	simple:P22301		IL10	True	True	False	curated	False	0.049							0.103																																																						0.171									0.123									0.191		
CPI-SS0755A26DD	FGF1_FGFR1	simple:P05230	simple:P11362	FGF1	FGFR1	True	False	True	curated	False	0.049																																						0.114	0.151	0.174	0.323																																								
CPI-SC0C81483EA	SPP1_integrin_a4b1_complex	simple:P10451	complex:integrin_a4b1_complex	SPP1		True	False	False	curated	True	0.062																																																							0.824					0.773	0.794	0.91	0.789																		
CPI-CS0C0193ABB	FLT1_complex_VEGFB	complex:FLT1_complex	simple:P49765		VEGFB	True	True	False	curated	False	0.062																													0.439	0.44		0.519		0.465		0.668																																													
CPI-SS00577086D	FTL_SCARA5	simple:P02792	simple:Q6ZMJ2	FTL	SCARA5	False	False	True	curated	False	0.062																											1.618																		1.803									1.965									2.785																		1.738
CPI-SC00B50273B	TNC_integrin_a4b1_complex	simple:P24821	complex:integrin_a4b1_complex	TNC		True	False	False	curated	True	0.062																																					0.3					0.249	0.27	0.386	0.265																																				
CPI-CS06C6527F4	Cholesterol_byDHCR7_RORA	complex:Cholesterol_byDHCR7	simple:P35398		RORA	True	False	True	curated	False	0.062														0.154			0.224					0.143	0.179			0.249																																																							
CPI-SS0947A8549	FLT1_VEGFB	simple:P17948	simple:P49765	FLT1	VEGFB	True	True	False	curated	False	0.062																													0.524	0.526		0.604		0.55		0.753																																													
CPI-SC046AFCFE9	CLU_TREM2_receptor	simple:P10909	complex:TREM2_receptor	CLU		True	False	True	curated	False	0.062																0.611									0.531									0.638									0.525									1.405																													
CPI-SS0A5DF05C0	TIGIT_NECTIN2	simple:Q495A1	simple:Q92692	TIGIT	NECTIN2	False	False	True	curated	False	0.062																																																																	0.583	0.406	0.735	0.489		0.478											
CPI-SC0AC1EFC2A	PTGER2_ProstaglandinE2_byPTGES3	simple:P43116	complex:ProstaglandinE2_byPTGES3	PTGER2		True	True	False	curated	False	0.062																																																																	0.575		0.511	0.501		0.511	0.563										
CPI-SS083296041	CD40_CD40LG	simple:P25942	simple:P29965	CD40	CD40LG	True	True	False	curated	False	0.062								0.352																											0.34									0.195																		0.265																		0.183	
CPI-SS07155793F	ACKR3_CXCL12	simple:P25106	simple:P48061	ACKR3	CXCL12	True	True	False	guidetopharmacology.org	False	0.062																															0.443	0.688		0.143						0.433	0.677																																								
CPI-CS0F51152EA	Cholesterol_byLIPA_RORC	complex:Cholesterol_byLIPA	simple:P51449		RORC	True	False	True	curated	False	0.062											0.118																		0.259									0.142																		0.361																		0.141							
CPI-SS0DBA4D668	DPP4_CXCL12	simple:P27487	simple:P48061	DPP4	CXCL12	True	True	False	curated	False	0.062																																								0.433	0.677																																			0.463	0.708		0.163		
CPI-SS00F282936	CXCR6_CXCL16	simple:O00574	simple:Q9H2A7	CXCR6	CXCL16	True	True	True	curated	False	0.062																																																																	0.235	0.266		0.21	0.4	0.535											
CPI-SS00B1BEE64	CD2_CD58	simple:P06729	simple:P19256	CD2	CD58	False	True	False	curated	False	0.062																																																																			0.945	0.912	0.975	1.008	1.014										
CPI-CS048E474A5	LeukotrieneE4_byDPEP2_CYSLTR1	complex:LeukotrieneE4_byDPEP2	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	0.062																																																							0.135			0.13		0.158	0.102		0.283																		
CPI-SC0AE4F5BAB	FN1_integrin_a11b1_complex	simple:P02751	complex:integrin_a11b1_complex	FN1		True	False	False	curated	True	0.062														0.538									0.757									0.754									1.829																		0.717																						
CPI-SS019C98396	TNFSF14_TNFRSF14	simple:O43557	simple:Q92956	TNFSF14	TNFRSF14	True	False	True	curated	False	0.074																																																																0.32			0.287		0.341	0.34	0.371	0.281									
CPI-SS0423580E5	DLL1_NOTCH2	simple:O00548	simple:Q04721	DLL1	NOTCH2	False	False	True	curated	False	0.074																													0.199	0.128		0.297	0.138	0.176		0.347																																													
CPI-SS0D1D95883	CCL4_CCR5	simple:P13236	simple:P51681	CCL4	CCR5	True	False	True	curated	False	0.074																																																													0.493	0.53	0.507							0.589	0.626	0.603									
CPI-SS0C090A257	CCL3_CCR5	simple:P10147	simple:P51681	CCL3	CCR5	True	False	True	curated	False	0.074																																																													0.557	0.594	0.571							0.17	0.207	0.184									
CPI-SS03105D292	CSF1_SLC7A1	simple:P09603	simple:P30825	CSF1	SLC7A1	True	False	True	I2D	False	0.074																																						0.151	0.156								0.18	0.184																	0.119	0.124															
CPI-SC0F9FB6DCB	COL6A2_integrin_a1b1_complex	simple:P12110	complex:integrin_a1b1_complex	COL6A2		True	False	False	curated	True	0.074																						0.476	0.453								0.51	0.487								1.592	1.569																																								
CPI-SC0549A759B	COL6A1_integrin_a1b1_complex	simple:P12109	complex:integrin_a1b1_complex	COL6A1		True	False	False	curated	True	0.074																						0.426	0.403								0.364	0.341								1.451	1.428																																								
CPI-SC0322BA9B5	IGF1_integrin_a6b4_complex	simple:P05019	complex:integrin_a6b4_complex	IGF1		True	False	False	curated	True	0.074																																						0.315	0.345	0.481																0.119	0.149	0.285																							
CPI-SC0ABE9B7D2	FBN1_integrin_a5b1_complex	simple:P35555	complex:integrin_a5b1_complex	FBN1		True	False	False	curated	True	0.074																															0.584	0.329		0.292						0.992	0.737		0.7																																						
CPI-SS0B89DD8C1	TNFSF13_TNFRSF17	simple:O75888	simple:Q02223	TNFSF13	TNFRSF17	True	False	True	curated	False	0.074										0.174								0.143																																					0.343								0.312										0.39								0.358
CPI-SS0A3569604	IGF2_IDE	simple:P01344	simple:P14735	IGF2	IDE	True	False	True	I2D,InnateDB-All	False	0.074																				0.266		0.273							0.367		0.374							0.29		0.297																																									
CPI-SS0FF55B42C	EPHB3_EFNB1	simple:P54753	simple:P98172	EPHB3	EFNB1	False	True	False	curated	False	0.074													0.17	0.106								0.198	0.134																	0.191	0.127																																								
CPI-SS005F1054E	UNC5B_NTN4	simple:Q8IZJ1	simple:Q9HB63	UNC5B	NTN4	True	True	False	curated	False	0.074																													0.222		0.19							0.332		0.3																0.126		0.093																							
CPI-SS0762B39A3	TREML2_CD276	simple:Q5T2D2	simple:Q5ZPR3	TREML2	CD276	False	True	False	curated	False	0.074																																																																										0.107	0.105	0.143	0.263	0.122	0.127		
CPI-SS00CFAFE79	ERBB2_HBEGF	simple:P04626	simple:Q99075	ERBB2	HBEGF	True	True	True	curated	False	0.074													0.32			0.338						0.169			0.187															0.152			0.171																																						
CPI-SS018AC8F36	FTH1_SCARA5	simple:P02794	simple:Q6ZMJ2	FTH1	SCARA5	False	False	True	curated	False	0.074																		2.193									2.239																		1.988									2.612									2.562																		1.944
CPI-SS02770D68F	NOTCH2_JAG2	simple:Q04721	simple:Q9Y219	NOTCH2	JAG2	False	True	False	curated	False	0.074													0.408									0.337																		0.506									0.347									0.385																		0.556					
CPI-SS067BA9202	LAIR1_LILRB4	simple:Q6GTX8	simple:Q8NHJ6	LAIR1	LILRB4	False	True	True	curated	False	0.074																																																				0.601		0.811							0.684		0.895																0.733		0.944
CPI-SS095E52E66	TNFSF10_TNFRSF10D	simple:P50591	simple:Q9UBN6	TNFSF10	TNFRSF10D	True	False	True	curated	False	0.074													0.379																		0.563									0.293									0.407									0.333									0.267														
CPI-SS01946BE5C	C5AR1_RPS19	simple:P21730	simple:P39019	C5AR1	RPS19	False	True	False	guidetopharmacology.org	False	0.074																																																							1.87	1.749	1.945				1.802	2.032	2.085																		
CPI-SS0E2863F09	TNFRSF17_TNFSF13B	simple:Q02223	simple:Q9Y275	TNFRSF17	TNFSF13B	True	True	False	curated	False	0.074					0.213		0.543		0.581																																																																				0.182		0.512		0.55
CPI-SS027CDEA08	NOTCH2_DLL4	simple:Q04721	simple:Q9NR61	NOTCH2	DLL4	False	True	False	curated	False	0.074													0.369									0.298																		0.467									0.308									0.346																		0.517					
CPI-CS0DC57DE37	Desmosterol_byDHCR7_NR1H3	complex:Desmosterol_byDHCR7	simple:Q13133		NR1H3	True	False	True	curated	False	0.074											0.088			0.11		0.212				0.113			0.134		0.237																																																								
CPI-SS0F21D6CA0	EPHB4_EFNB1	simple:P54760	simple:P98172	EPHB4	EFNB1	False	True	False	curated	False	0.074													0.189	0.125								0.177	0.113								0.33	0.266																																																	
CPI-SS0DC9D2C55	NOTCH2_CNTN1	simple:Q04721	simple:Q12860	NOTCH2	CNTN1	False	True	False	curated	False	0.074														0.247									0.176																		0.345									0.186									0.224																		0.395				
CPI-SS03E48EFEA	C3_C3AR1	simple:P01024	simple:Q16581	C3	C3AR1	True	False	True	curated	False	0.074																								0.228	0.303																	0.526	0.601																	0.379	0.454																				
CPI-SS0859C173B	TNFSF14_LTBR	simple:O43557	simple:P36941	TNFSF14	LTBR	True	False	True	curated	False	0.074																																																																	0.234	0.247	0.271	0.315		0.263		0.173									
CPI-SC081B8028B	PTGER4_ProstaglandinE2_byPTGES	simple:P35408	complex:ProstaglandinE2_byPTGES	PTGER4		True	True	False	curated	False	0.074																																																								0.206	0.194		0.229						0.261	0.249		0.284													
CPI-SS08B7D54A3	TNF_FAS	simple:P01375	simple:P25445	TNF	FAS	True	False	True	InnateDB-All	False	0.074					0.223			0.223																																																			0.296			0.296						0.308			0.308										
CPI-SS0A83A7E30	TNFSF13_FAS	simple:O75888	simple:P25445	TNFSF13	FAS	True	False	True	I2D,InnateDB-All	False	0.074														0.174			0.175																																										0.343			0.343															0.389			0.39	
CPI-SS0BFB29A42	PLXNB2_PTN	simple:O15031	simple:P21246	PLXNB2	PTN	True	True	False	I2D,IMEx,InnateDB-All,IntAct	False	0.074														0.287									0.292									0.303									0.345																		0.328																		0.455				
CPI-SS02EBC1BB0	TNF_NOTCH1	simple:P01375	simple:P46531	TNF	NOTCH1	True	False	True	I2D	False	0.074				0.343	0.158																																																					0.416	0.231								0.428	0.243													
CPI-CS0EC7F7C75	Dihydrotestosterone_bySRD5A1_AR	complex:Dihydrotestosterone_bySRD5A1	simple:P10275		AR	True	False	True	curated	False	0.074																				0.365			0.199																																	0.282			0.116															0.332			0.166				
CPI-SC0E83A4B71	COL12A1_integrin_a1b1_complex	simple:Q99715	complex:integrin_a1b1_complex	COL12A1		True	False	False	curated	True	0.074													0.319	0.297								0.323	0.3																	1.028	1.005																																								
CPI-SS028784FC6	HLA-DPA1_TNFSF9	simple:HLADPA1	simple:P41273	HLA-DPA1	TNFSF9	True	True	False	InnateDB-All	False	0.074									1.12																											0.603																		0.721									1.696									0.484									1.391
CPI-SS046F6F0C1	EFNA1_EPHA2	simple:P20827	simple:P29317	EFNA1	EPHA2	True	False	True	curated	False	0.074													0.315					0.398				0.215					0.299				0.447					0.531																																													
CPI-SS034B442CE	TNF_CELSR2	simple:P01375	simple:Q9HCU4	TNF	CELSR2	True	False	True	InnateDB-All	False	0.074		0.184	0.134																																																					0.257	0.207								0.268	0.219															
CPI-SS073C1B796	CD52_SIGLEC10	simple:P31358	simple:Q96LC7	CD52	SIGLEC10	True	False	False	curated	False	0.074						0.983	1.019																																												0.848	0.884																	1.278	1.315											
CPI-SC0270AA5D9	COL9A2_integrin_a1b1_complex	simple:Q14055	complex:integrin_a1b1_complex	COL9A2		True	False	False	curated	True	0.074													0.334	0.312								0.302	0.279																										0.318	0.296																															
CPI-SS0415CC75D	MERTK_GAS6	simple:Q12866	simple:Q14393	MERTK	GAS6	True	True	False	curated	False	0.074																																																							0.189		0.177	0.338	0.452		0.226		0.586																		
CPI-SS076940BCD	LGALS3_MERTK	simple:P17931	simple:Q12866	LGALS3	MERTK	True	False	True	curated	False	0.074																0.511									0.619									0.767									0.84									0.93									0.879																				
CPI-SS0D8CC2248	SELL_PODXL2	simple:P14151	simple:Q9NZ53	SELL	PODXL2	False	False	False	curated	False	0.074		0.444	0.429																																																														0.35	0.334								0.795	0.78						
CPI-SC08252842D	PTGER3_ProstaglandinE2_byPTGES	simple:P43115	complex:ProstaglandinE2_byPTGES	PTGER3		True	True	False	curated	False	0.074											0.12	0.108		0.143																								0.171	0.159		0.194																																								
CPI-SS0F739D3DB	ANXA1_FPR1	simple:P04083	simple:P21462	ANXA1	FPR1	True	False	True	guidetopharmacology.org	False	0.074																									0.425									0.569									0.608									1.19									0.639									0.573											
CPI-SC06AD39F88	COL16A1_integrin_a1b1_complex	simple:Q07092	complex:integrin_a1b1_complex	COL16A1		True	False	False	curated	True	0.074													0.283	0.261								0.282	0.259																	0.609	0.586																																								
CPI-SC0C93C7670	C3_integrin_aMb2_complex	simple:P01024	complex:integrin_aMb2_complex	C3		True	False	False	curated	True	0.074																								0.199	0.259																	0.497	0.557																	0.35	0.411																				
CPI-SS0EF0750A7	HLA-DRB1_OGN	simple:HLADRB1	simple:P20774	HLA-DRB1	OGN	True	True	False	InnateDB-All	False	0.086					1.158																		0.597									0.987																		0.797									1.771									0.59									1.458				
CPI-SS0E2431C09	PDCD1_FAM3C	simple:Q15116	simple:Q92520	PDCD1	FAM3C	True	True	False	InnateDB-All	False	0.086																																																																0.304	0.244	0.283	0.319	0.403		0.229		0.252									
CPI-SS072F1842C	NR3C1_FASLG	simple:P04150	simple:P48023	NR3C1	FASLG	True	True	False	InnateDB-All	False	0.086								0.318																											0.361									0.347									0.369									0.314									0.481									0.615	
CPI-SS06CCF5A54	ANXA1_FPR3	simple:P04083	simple:P25089	ANXA1	FPR3	True	False	True	curated	False	0.086																0.394									0.569									0.713									0.752									1.334									0.783									0.717											
CPI-SC0E89A4EF0	APP_TREM2_receptor	simple:P05067	complex:TREM2_receptor	APP		False	False	True	curated	False	0.086							0.373									0.645									0.81									1.184									0.894																		0.439																		1.136		
CPI-SS0632A027A	CD44_HBEGF	simple:P16070	simple:Q99075	CD44	HBEGF	True	True	True	I2D,InnateDB-All	False	0.086							0.387																																										0.916			0.934						0.559			0.577						0.655			0.674											
CPI-SS08A1F8C22	TGFB1_VDR	simple:P01137	simple:P11473	TGFB1	VDR	True	False	True	InnateDB-All	False	0.086					0.2																											0.322									0.268									0.27									0.328									0.288									0.33				
CPI-SS0D2539AEB	FPR3_HEBP1	simple:P25089	simple:Q9NRV9	FPR3	HEBP1	False	True	False	curated	False	0.086																																																								0.487	0.449	0.515	0.467	0.364	0.456		0.383																		
CPI-SC06C0A2080	VCAM1_integrin_a4b7_complex	simple:P19320	complex:integrin_a4b7_complex	VCAM1		False	False	False	curated	True	0.086																												0.178						0.131	0.237		0.281					0.228	0.234	0.34																																					
CPI-SS0391D4602	NTRK1_NAMPT	simple:P04629	simple:P43490	NTRK1	NAMPT	True	True	False	InnateDB-All	False	0.086																																															0.409	0.422	0.478	0.335		0.595	0.353	0.433																											
CPI-SS0A4F27388	TNFRSF1A_FASLG	simple:P19438	simple:P48023	TNFRSF1A	FASLG	True	True	False	I2D,InnateDB-All	False	0.086																	0.266									0.267									0.51									0.516																		0.374									0.261									0.27	
CPI-SS0AFC7BACF	ADGRG5_FAM3C	simple:Q8IZF4	simple:Q92520	ADGRG5	FAM3C	True	True	False	InnateDB-All	False	0.086																																																																									0.325	0.265	0.304	0.34	0.424		0.25		0.273
CPI-SC01AADFEB3	TGFB1_TGFbeta_receptor2	simple:P01137	complex:TGFbeta_receptor2	TGFB1		True	False	True	curated	False	0.086					0.23																											0.352									0.298									0.3									0.358									0.318									0.36				
CPI-SS08877A081	LGALS9_COLEC12	simple:O00182	simple:Q5KU26	LGALS9	COLEC12	True	False	True	InnateDB-All	False	0.086					0.243																											0.351									0.226									0.28									0.517									0.25									0.398				
CPI-SS08920B6FF	PODXL_SELL	simple:O00592	simple:P14151	PODXL	SELL	False	False	False	curated	False	0.086										0.423							0.328	0.773										0.938						0.627	0.843	1.288																																													
CPI-SC0B80B8591	THBS1_integrin_a3b1_complex	simple:P07996	complex:integrin_a3b1_complex	THBS1		False	False	False	curated	True	0.086											0.212		0.238									0.161							0.178		0.204							0.48		0.506																																									
CPI-SS0FBFBF63E	NR3C1_IL10	simple:P04150	simple:P22301	NR3C1	IL10	True	True	False	InnateDB-All	False	0.086							0.233																											0.276									0.263									0.285									0.23									0.397									0.531		
CPI-CS0D81115C8	Cholesterol_byDHCR24_RORA	complex:Cholesterol_byDHCR24	simple:P35398		RORA	True	False	True	curated	False	0.086											0.314	0.316	0.343	0.379			0.448						0.189			0.259																																																							
CPI-SS0C85BC9AF	PROS1_AXL	simple:P07225	simple:P30530	PROS1	AXL	True	False	True	guidetopharmacology.org	False	0.099																							0.226		0.18							0.326		0.28							0.282		0.236							0.279		0.234																													
CPI-SC0FE04B899	PTGER2_ProstaglandinE2_byPTGES2	simple:P43116	complex:ProstaglandinE2_byPTGES2	PTGER2		True	True	False	curated	False	0.099																																																																0.154	0.173	0.167	0.159	0.161		0.185	0.168	0.233									
CPI-SS054D158CC	NTRK1_GRN	simple:P04629	simple:P28799	NTRK1	GRN	True	True	False	InnateDB-All	False	0.099																																														0.464	0.566	0.509	0.743	0.676	0.437	1.123		1.247																											
CPI-SS02AB0C3E0	SPP1_CD44	simple:P10451	simple:P16070	SPP1	CD44	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.099																																																							0.937	0.842	0.897		0.896	1.485	1.128	1.224	0.855																		
CPI-SS07D9A48A2	LTA_TNFRSF1B	simple:P01374	simple:P20333	LTA	TNFRSF1B	True	False	True	curated	False	0.099				0.306			0.307	0.349	0.243																																																										0.322			0.323	0.365	0.259									
CPI-SS0481D83A4	EGFR_AREG	simple:P00533	simple:P15514	EGFR	AREG	True	True	False	curated	False	0.099																			0.152	0.28				0.349			0.29										0.168	0.296				0.365			0.306																																				
CPI-SS0B01CF3AB	CSF1R_CSF1	simple:P07333	simple:P09603	CSF1R	CSF1	True	True	False	curated	False	0.099																																																										0.46	0.527	0.555		0.495														0.147	0.213	0.242		0.181	
CPI-SS0EFE0B07A	CXCL12_CXCR3	simple:P48061	simple:P49682	CXCL12	CXCR3	True	False	True	guidetopharmacology.org	False	0.099																												0.459							0.789	0.856	0.704							1.034	1.101																	0.489	0.556																		
CPI-SC0C739EDCE	COL18A1_integrin_a1b1_complex	simple:P39060	complex:integrin_a1b1_complex	COL18A1		True	False	False	curated	True	0.099													0.301	0.279																	0.672	0.649								0.809	0.787								0.364	0.341																															
CPI-SC08C485EAE	FN1_integrin_a3b1_complex	simple:P02751	complex:integrin_a3b1_complex	FN1		True	False	False	curated	True	0.099																				0.504		0.53							0.5		0.526							1.576		1.601																0.463		0.489																							
CPI-SS0D22A09AD	NRP2_PGF	simple:O60462	simple:P49763	NRP2	PGF	True	True	False	curated	False	0.099																						0.153	0.163								0.306	0.315								0.299	0.309																	0.24	0.25																						
CPI-SC0ECDD1074	COL6A3_integrin_a1b1_complex	simple:P12111	complex:integrin_a1b1_complex	COL6A3		True	False	False	curated	True	0.099													0.376	0.353								0.369	0.346								0.365	0.342								1.442	1.419																																								
CPI-SS0F15C1AB3	NRP2_SEMA3F	simple:O60462	simple:Q13275	NRP2	SEMA3F	True	True	False	curated	False	0.099																				0.099		0.215							0.252		0.368							0.245		0.362																0.187		0.303																							
CPI-SS0E41702C1	IGF1_IGF1R	simple:P05019	simple:P08069	IGF1	IGF1R	True	False	True	curated	False	0.099																																						0.437	0.345	0.32	0.36															0.241	0.149	0.124	0.164																						
CPI-SS0F3D40856	PGRMC2_CCL4L2	simple:O15173	simple:Q8NHW4	PGRMC2	CCL4L2	True	True	False	IMEx,IntAct	False	0.099																0.337	0.266								0.295	0.224								0.333	0.262								0.323	0.251																																					
CPI-SS027AFFC0E	NCR3_BAG6	simple:O14931	simple:P46379	NCR3	BAG6	False	True	False	curated	False	0.099	0.196	0.246	0.237	0.257	0.228		0.222	0.206	0.268																																																																								
CPI-SC02DEB4893	IFNG_Type_II_IFNR	simple:P01579	complex:Type_II_IFNR	IFNG		True	False	True	curated	False	0.099																																																																0.205	0.184	0.179	0.274	0.273	0.202	0.402		0.23									
CPI-SS0855C0353	NRP1_PGF	simple:O14786	simple:P49763	NRP1	PGF	True	True	False	curated	False	0.099																															0.551	0.561								0.252	0.262																	0.229	0.239																	0.348	0.357				
CPI-SS01560CA22	CD99_PILRA	simple:P14209	simple:Q9UKJ1	CD99	PILRA	True	False	True	curated	False	0.099							0.656									0.69																		1.051									1.321									0.891									0.735									1.041									0.905		
CPI-SS0CBC7840D	PTPRC_CD22	simple:P08575	simple:P20273	PTPRC	CD22	False	False	True	curated	False	0.099	0.644					0.572																																																	0.629					0.557				1.14					1.068				0.646					0.575			
CPI-SC09D882C18	CDH1_integrin_aEb7_complex	simple:P12830	complex:integrin_aEb7_complex	CDH1		False	False	False	curated	True	0.099										0.233					0.224	0.219	0.32		0.184					0.176	0.171	0.271																																																							
CPI-SS04F90EE0D	SELE_GLG1	simple:P16581	simple:Q92896	SELE	GLG1	False	False	False	curated	False	0.099																												0.221	0.2	0.263	0.352	0.465		0.248	0.285	0.426																																													
CPI-SS0E9015902	CD47_SIRPG	simple:Q08722	simple:Q9P1W8	CD47	SIRPG	False	True	False	curated	False	0.111								0.446									0.333									0.348									0.317									0.351									0.344									0.422									0.489									0.532	
CPI-SS084BE3E4B	LTA_TNFRSF1A	simple:P01374	simple:P19438	LTA	TNFRSF1A	True	False	True	curated	False	0.111				0.453	0.458		0.317																																																										0.225	0.225	0.469	0.474		0.333	0.219										
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	0.111																					0.097		0.156		0.102														0.156		0.216		0.162														0.102		0.162		0.108																				
CPI-SS06D13FCD3	DSC2_DSG2	simple:Q02487	simple:Q14126	DSC2	DSG2	False	False	False	curated	False	0.111											0.166	0.181		0.121						0.248	0.263		0.203																																	0.189	0.203		0.144																						
CPI-SS052C9BB74	NR3C1_CXCL8	simple:P04150	simple:P10145	NR3C1	CXCL8	True	True	False	I2D,InnateDB	False	0.111							0.423									0.294									0.307									0.466									0.452									0.474									0.419									0.586									0.72		
CPI-SS0B1AB068C	NTRK1_GPI	simple:P04629	simple:P06744	NTRK1	GPI	True	True	False	InnateDB-All	False	0.111																																														0.383	0.551	0.579	0.46	0.502	0.425	0.579	0.503	0.379																											
CPI-SS02EF3E1BA	TNFSF12_TNFRSF12A	simple:O43508	simple:Q9NP84	TNFSF12	TNFRSF12A	True	False	True	curated	False	0.111																																						0.167	0.178		0.298	0.144														0.201	0.213		0.332	0.178	0.135																				
